title,description
Project Kickoff,Start a set in either Quizizz Mode or Elearning Mode. (1 cr)
Requirement Gathering,Pass 7 sets in total. (10 cr)
Execution Protocol,Pass 14 sets in total. (15 cr)
Stakeholder Approved,Pass Midtest with a good grade (90%+). (40 cr)
System Manager,Pass 21 sets in total. (30 cr)
Documentation Complete,Pass all 28 sets in total. (25 cr)
Final Delivery,Pass Final Test with perfect grades (100%). (80 cr)
Link Established,Start a set in either Quizizz Mode or Elearning Mode. (1 cr)
Subnetting Practice,Pass 7 sets in total. (10 cr)
Routing Apprentice,Pass 14 sets in total. (15 cr)
Network Qualified,Pass Midtest with a good grade (90%+). (40 cr)
Traffic Controller,Pass 21 sets in total. (30 cr)
Full Topology,Pass all 28 sets in total. (25 cr)
Core Architect,Pass Final Test with perfect grades (100%). (80 cr)
Activate Antivirus,Start a set in either Quizizz Mode or Elearning Mode. (1 cr)
Vulnerability Scanning,Pass 7 sets in total. (10 cr)
Into the Threat Surface,Pass 14 sets in total. (15 cr)
Integrity Holds,Pass Midtest with a good grade (90%+). (40 cr)
The System Stands Guard,Pass 21 sets in total. (30 cr)
Security Audit,Pass all 28 sets in total. (25 cr)
No False Alarm,Pass Final Test with perfect grades (100%). (80 cr)
<head></head>,Start a set in either Quizizz Mode or Elearning Mode. (1 cr)
<p>Hellow World!</p>,Pass 7 sets in total. (10 cr)
body {},Pass 14 sets in total. (15 cr)
page.load(),Pass Midtest with good grades (90%+). (40 cr)
bindEvents(),Pass 21 sets in total. (30 cr)
"console.log(""""tested"""")",Pass all 28 sets in total. (25 cr)
// this is going to work,Pass Final Test with perfect grades (100%). (80 cr)
New Project,Start a set in either Quizizz Mode or Elearning Mode. (1 cr)
Read the Docs,Pass 7 sets in total. (10 cr)
Hot Reload Hero,Pass 14 sets in total. (15 cr)
Product Checkpoint,Pass Midtest with good grades (90%+). (40 cr)
Feature Complete-ish,Pass 21 sets in total. (30 cr)
Beta Tester,Pass all 28 sets in total. (25 cr)
Production Ready,Pass Final Test with perfect grades (100%). (80 cr)
Why the Sky is Blue?,Start a set in either Quizizz Mode or Elearning Mode. (1 cr)
Literature Review,Pass 7 sets in total. (10 cr)
Read the Literature,Pass 14 sets in total. (15 cr)
Critical Thinking,Pass Midtest with good grade (90%+). (40 cr)
On the Trail,Pass 21 sets in total. (30 cr)
Data Gathered,Pass all 28 sets in total. (25 cr)
More Questions than Answers,Pass Final Test with perfect grades (100%). (80 cr)
Early Vision,Start a set in either Quizizz Mode or Elearning Mode. (1 cr)
Feature Extraction,Pass 7 sets in total. (10 cr)
Object Seeker,Pass 14 sets in total. (15 cr)
Biometrics,Pass Midtest with good grade (90%+). (40 cr)
Found You,Pass 21 sets in total. (30 cr)
Dataset Annotated,Pass all 28 sets in total. (25 cr)
Full Perception,Pass Final Test with perfect grades (100%). (80 cr)
Pixel Boot,Start a set in either Quizizz Mode or Elearning Mode. (1 cr)
Noise Reduction,Pass 7 sets in total. (10 cr)
Image Pipeline,Pass 14 sets in total. (15 cr)
Correct Image,Pass Midtest with good grade (90%+). (40 cr)
Continuous Filtering,Pass 21 sets in total. (30 cr)
Color Space Mapped,Pass all 28 sets in total. (25 cr)
Final Reconstruction,Pass Final Test with perfect grades (100%). (80 cr)
Curious,Play the game for 20 minutes. (3 cr)
Good Student,Play the game for 2 hours. (12 cr)
Graduate Candidate,Play the game for 5 hours. (35 cr)
Natural Intelligence,Play the game for 12 hours. (60 cr)
High Honor,Play the game for 24 hours. (100 cr)
Straight A Student,Play the game for 36 hours. (200 cr)
An Insanity,Beat an All in One mode in a course. (100 cr)
An Insanity that Beats a Genius,Beat ALL All in One mode. (400 cr)
For Masters,100% beat the game. (300 cr)
